分组,参数名,当前值,量纲,含义
单位物理 UnitManager,flow_factor,2000.0,无,流场引导力倍率：方向向量×该值=流场力
单位物理 UnitManager,separation_factor,100.0,无,单位间排斥力倍率：重叠比例×该值=排斥力
单位物理 UnitManager,separation_limit,250.0,力,排斥力向量长度上限
单位物理 UnitManager,separation_radius_factor,3.0,无,排斥探测半径=碰撞半径×该值
单位物理 UnitManager,lateral_separation_factor,1.0,无,侧向排斥系数（遗留，未在移动逻辑中使用）
单位物理 UnitManager,friction_factor,20.0,1/s,摩擦力：每帧从速度中减去 velocity×该值，越大停得越快
单位物理 UnitManager,force_threshold_squared,0.0,力²,引导力平方阈值，小于视为无动力（停止态死区）
单位物理 UnitManager,velocity_threshold_squared,0.1,px²/s²,速度平方阈值，小于强制置零（防滑行）
单位物理 UnitManager,desired_integration,0.5,无,期望集成值（遗留，未在移动逻辑中使用）
单位物理扩展 UnitManager,air_height_threshold,20.0,px,空中/地面判定高度阈值，高度>该值按空中处理
单位物理扩展 UnitManager,density_limit,0.25,密度,路径"人墙"密度阈值，超过判定被堵死切回流场
单位物理扩展 UnitManager,density_update_interval,0.5,s,动态密度图重建间隔
单位物理扩展 UnitManager,idle_density_factor,5.0,无,待机单位密度贡献倍率
单位物理扩展 UnitManager,density_next_cell_factor,0.8,无,行进前方下一格密度贡献系数
单位物理扩展 UnitManager,arrival_stop_distance_sq,1.0,px²,到达死区距离平方，防终点横跳
单位物理扩展 UnitManager,density_avoidance_strength,0.1,无,直线模式密度避让强度（建议0.05~0.5）
单位物理扩展 UnitManager,density_avoidance_flow_strength,0.02,无,流场模式密度避让强度
单位物理扩展 UnitManager,separation_extra_radius,8.0,px,排斥搜索半径额外余量
单位物理扩展 UnitManager,separation_min_dist_factor,1.1,无,排斥理想间距系数，>1 单位留缝
单位物理扩展 UnitManager,sep_idle_vs_idle_k,0.5,无,双方都待机时排斥力权重
单位物理扩展 UnitManager,sep_idle_vs_moving_k,2.0,无,待机单位推开移动单位的排斥力权重
单位物理扩展 UnitManager,sep_moving_vs_idle_k,0.1,无,移动单位被待机单位顶开的权重
单位物理扩展 UnitManager,sep_force_to_total_ratio,0.5,无,分离力计入总物理力的比例（0~1）
单位物理扩展 UnitManager,target_integration_factor,1.1,无,组目标集成值倍率（到达判定用）
单位物理扩展 UnitManager,critical_area_integration_margin,3.0,集成值,临界区判定余量
单位物理扩展 UnitManager,arrival_desired_distance_factor,1.5,无,期望到达距离=碰撞半径×该值
单位物理扩展 UnitManager,soft_arrival_factor,1.1,无,软到达半径倍率
单位物理扩展 UnitManager,soft_arrival_neighbor_radius_factor,3.0,无,软到达邻居扫描半径=碰撞半径×该值
单位物理扩展 UnitManager,stuck_check_interval,0.5,s,卡住检测间隔
单位物理扩展 UnitManager,stuck_threshold_move_factor,0.025,无,卡住位移阈值系数：阈值=min(该值×移速
单位物理扩展 UnitManager,stuck_threshold_min,0.1,px,卡住位移阈值下限
单位物理扩展 UnitManager,stuck_rotation_threshold_factor,0.08,无,卡住转角阈值=该值×转向速度
单位物理扩展 UnitManager,stuck_give_up_time,8.0,s,连续无位移超过该秒数判定卡死并停下
单位物理扩展 UnitManager,path_recheck_interval,0.8,s,移动中直线路径重查间隔
单位物理扩展 UnitManager,chase_path_recheck_interval,0.5,s,追击中路径重查间隔
单位物理扩展 UnitManager,arrival_slow_radius_factor,5.0,无,到达减速半径=碰撞半径×该值
单位物理扩展 UnitManager,arrival_min_speed_factor,0.2,无,到达减速后的最小速度比例（0~1）
单位物理扩展 UnitManager,chase_slow_down_factor,1.5,无,追击减速起始距离=停火距离×该值
单位物理扩展 UnitManager,chase_min_speed_factor,0.5,无,追击最小速度比例（0~1）
单位物理扩展 UnitManager,rubberband_sensitivity,0.02,1/px,组内速度橡皮筋灵敏度：每落后100像素集成值提速该比例
单位物理扩展 UnitManager,rubberband_speed_min,0.8,无,橡皮筋速度下限
单位物理扩展 UnitManager,rubberband_speed_max,1.2,无,橡皮筋速度上限
单位物理扩展 UnitManager,engine_forward_ratio,0.7,无,引擎方向中"当前朝向"权重（0~1），0.7=七分向前三分横移
单位物理扩展 UnitManager,propulsion_force_scale,1000.0,力/px·s²,推进力总缩放系数
单位物理扩展 UnitManager,propulsion_min_power,0.1,无,推进力基础功率比例（原地转身也能缓慢挪动）
