unit_name,unit_name_key,unit_tags,producible_buildings,move_type,health_max,health_regen,shield_max,shield_regen,armor_type,mass,move_speed,acceleration,turn_speed,turn_acceleration,collision_radius,base_height,sight_range,aggro_range,cost,build_time,can_fire_on_move,target_priority,deploy_time,deploy_frames,deploy_row,weapon,weapon_mount,emit_threshold,particle_scale,effect_point,texture_path,h_frames,v_frames,idle_frames,idle_row,move_frames,move_row,anim_fps,dying_time,备注
TinyTank,KEY_UNIT_TINY_TANK,Biological,,Ground,30,0,0,0,Light,0.2,12,10,5,50,7,0,350,350,100,7.5,FALSE,Closest,0,1,2,"MarineBullet, 5.0, 250.0, 0.3, 1200.0, 0.0",,-1,-1,,res://asset/unit/地面单位01.png,8,3,1,0,1,1,10,1,低价地面骚扰
HeavyTank,KEY_UNIT_HEAVY_TANK,Biological,,Ground,150,0,0,0,Light,1.5,9,5,0.7,1,14,0,600,600,1000,25,TRUE,Closest,0,1,2,,"HeavyTankTurret, -10.0, 0.0",35,-1,"Dust, -20.0, -40.0, 2.5, -1, false; Dust, 20.0, -40.0, 2.5, -1, false",res://asset/unit/地面单位03.png,2,3,1,0,2,1,10,1,重火力地面单位
Builder,KEY_UNIT_BUILDER,Builder,"Collector, HumanBarrack, Shipyard, Fortress",Ground,30,0,0,0,Light,0.2,12,10,5,50,4,0,650,650,400,7.5,FALSE,Closest,0,1,2,"RepairBeam, 5.0, 400.0, 0.3, 1200.0, 0.0, 0.0, 0.0, 1.0, 15.0, true, true",,-1,-1,,res://asset/unit/机动支援单位01.png,2,3,1,0,1,1,10,1,建造者(可建造/修复)
Fighter,KEY_UNIT_FIGHTER,Biological,,Air,45,0,0,0,Light,1,16,63,2,8,7,50,700,700,500,12.5,TRUE,Closest,0,1,2,"MarineBullet, 6.0, 250.0, 0.15, 800.0, 0.0, 10.0, -20.0, -1.0, 15.0, false, true; MarineBullet, 6.0, 250.0, 0.15, 800.0, 0.0, 10.0, 20.0, -1.0, 15.0, false, true",,-1,-1,,res://asset/unit/飞行单位02.png,2,3,2,0,2,1,10,1,对空战斗机
Helicopter,KEY_UNIT_HELICOPTER,Biological,,Air,30,0,0,0,Light,1,13,500,3,8,8,50,500,500,400,7.5,TRUE,Closest,0,1,2,"MarineBullet, 5.0, 300.0, 0.3, 1200.0, 0.0, 0.0, 0.0, -1.0, 15.0, true, true",,-1,-1,,res://asset/unit/飞行单位01.png,2,3,2,0,2,1,10,1,对地对空直升机
AttackHelicopter,KEY_UNIT_ATTACK_HELICOPTER,Biological,,Air,45,0,0,0,Light,1.5,13,469,3,8,10,50,450,450,800,12.5,TRUE,Closest,0,1,2,"Missile, 30.0, 400.0, 1.5, 600.0, 20.0, 0.0, -36.0, -1.0, 15.0, true, true; Missile, 30.0, 400.0, 1.5, 600.0, 20.0, 0.0, 36.0, -1.0, 15.0, true, true",,-1,-1,,res://asset/unit/飞行单位03.png,2,3,2,0,2,1,10,1,武装直升机(导弹)
Gunboat,KEY_UNIT_GUNBOAT,Biological,,Sea,60,0,0,0,Light,0.5,10,7,2.8,3,4,0,350,350,150,10,FALSE,Closest,0,1,2,"MarineBullet, 8.0, 300.0, 0.3, 1200.0, 0.0",,-1,-1,,res://asset/unit/海上单位02.png,2,3,1,0,1,1,10,1,主力海上单位
Battleship,KEY_UNIT_BATTLESHIP,Biological,,Sea,90,0,0,0,Light,10,9,5,0.7,1,8,0,550,550,50,12.5,TRUE,Closest,0,1,2,,"BattleshipTurret, 20.0, 0.0; BattleshipTurret, 55.0, 0.0; BattleshipTurret, -60.0, 0.0",35,-1,"WaterFoam, -12.0, -75.0, -1, 2.5, false; WaterFoam, 12.0, -75.0, -1, 2.5, false; WaterRipple, 0.0, 80.0, 4.0, 3.0, true",res://asset/unit/海上单位03.png,1,3,1,0,1,1,10,1,三炮塔战列舰
Mortar,KEY_UNIT_MORTAR,Biological,,Ground,60,0,0,0,Light,3,6,4,1,1.5,40,0,350,400,300,12,FALSE,Closest,1.5,4,2,,"MortarGun, -10.0, 0.0",-1,-1,,res://asset/unit/火炮01.png,2,3,1,0,1,1,10,1,火炮(需部署/小溅射)
FieldGun,KEY_UNIT_FIELD_GUN,Biological,,Ground,100,0,0,0,Light,5,5,4,0.8,1,50,0,450,500,700,18,FALSE,Closest,2,4,2,,"FieldGun, -10.0, 0.0",-1,-1,,res://asset/unit/火炮02.png,2,3,1,0,1,1,10,1,火炮(需部署/中溅射)
SiegeCannon,KEY_UNIT_SIEGE_CANNON,Biological,,Ground,180,0,0,0,Heavy,12,4,3,0.5,0.8,70,0,500,550,1500,30,FALSE,Closest,2.5,4,2,,"SiegeGun, -10.0, 0.0",-1,-1,,res://asset/unit/火炮03.png,2,3,1,0,1,1,10,1,火炮(需部署/大溅射)
StrikerMech,KEY_UNIT_MECH_STRIKER,Mechanical,,Ground,80,0,60,2,Light,2,10,8,3,6,36,0,400,400,400,14,TRUE,Closest,0,1,2,,"StrikerBlaster, -8.0, 0.0",-1,-1,,res://asset/unit/机甲01.png,2,3,1,0,1,1,10,1,机甲(护盾/速射)
VanguardMech,KEY_UNIT_MECH_VANGUARD,Mechanical,,Ground,150,0,120,3,Light,5,8,6,2,4,44,0,450,500,900,20,TRUE,Closest,0,1,2,,"VanguardCannon, -12.0, 0.0; VanguardAA, 12.0, 0.0",-1,-1,,res://asset/unit/机甲02.png,2,3,1,0,1,1,10,1,机甲(护盾/多武器/对空)
GoliathMech,KEY_UNIT_MECH_GOLIATH,Mechanical,,Ground,300,3,250,4,Heavy,15,4,3,0.8,1.2,60,0,500,550,2000,35,FALSE,Closest,0,1,2,,"GoliathCannon, -15.0, 0.0",-1,-1,,res://asset/unit/机甲03.png,2,3,1,0,1,1,10,1,机甲(护盾+回血/大溅射/对空)
